id,lad,population,area_km2,pop_density_km2,lte_4G
DE63,E07000035,1860.0,81.81237445616755,588.4699237501173,0
NG104,E07000036,4885.0,2.6736453182138007,33358.7757508972,1
NG101,E07000036,4198.0,2.8660670645042314,26742.710042152776,1
DE75,E07000036,4939.0,3.6982474420263465,24383.294852184958,1
DE78,E07000036,6663.0,5.058580145366389,24048.639264749323,1
DE79,E07000036,1311.0,1.004119340532859,23837.828405765955,1
NG103,E07000036,6515.0,6.677066421814133,17814.68113256889,1
NG105,E07000036,4095.9999999999995,5.00887654366233,14930.314297726105,1
NG102,E07000036,2276.0,5.206598503932581,7981.187215141187,1
DE74,E07000036,5641.0,17.03038485781814,6047.570878350721,1
DE723,E07000036,7819.0,39.65456986835514,3600.039777453775,1
DE76,E07000036,4883.0,31.913949191710937,2793.5439264449606,1
DE215,E07000036,1545.0,14.678514453593884,1921.7447737671384,0
SK130,E07000037,782.0,0.23326059116190637,87011.69800307995,1
SK138,E07000037,4617.0,3.0935343024010917,38736.21666437865,1
SK132,E07000037,1626.0,1.1597521480897899,36388.7903122835,1
SK223,E07000037,1352.0,3.564745049692644,9843.747830258031,1
SK224,E07000037,2838.0,8.984614611450834,8198.326321822045,1
SK177,E07000037,3381.0,13.599595129784976,6452.551124444714,1
SK136,E07000037,2393.0,10.893480705158462,5701.489027112161,1
SK230,E07000037,2388.0,15.576273940371781,3979.0830955809997,1
SK176,E07000037,3992.0,35.54319082560619,2915.052508904255,1
SK237,E07000037,3568.0000000000005,35.864663538373065,2582.083886871957,1
SK236,E07000037,1102.0,12.192326616718294,2345.887974061958,1
SK135,E07000037,709.0,8.06342619354909,2282.122132142558,1
SK239,E07000037,1378.0,16.169069174007664,2211.9558853710814,1
SK137,E07000037,2061.0,35.29452623052827,1515.5940719006721,1
SK221,E07000037,460.0,8.483132858984732,1407.3879413618636,1
SK222,E07000037,1155.0,26.296449410786984,1139.979741664824,1
SK131,E07000037,3036.0,94.8435766236896,830.818401032083,0
S336,E07000037,470.0,16.37538673805205,744.9353010303561,1
S338,E07000037,349.0,12.401451160357034,730.4074300902973,1
S330,E07000037,724.0,88.2559673214977,212.91524058067415,0
S337,E07000037,148.0,28.483078729712304,134.86120872524486,0
S181,E07000038,3156.0,3.9855865360844773,14645.237333336376,1
S182,E07000038,2777.0,3.8510691461653064,13336.633783504594,1
S188,E07000038,2905.0,4.665479025784837,11515.997394782224,1
S211,E07000038,3423.0,5.634714375530819,11235.35127427373,1
S425,E07000038,5994.0,11.752099570444377,9433.067427855214,1
